,Location,YEAR,Month,Day,ShWave,UVA,UVB,UVindx,Lon,Lat,Temp,DewFrost,WBulbTemp2M,EarthSkin,SpecHumid2M,RelHumid2M,Precipitation,SfPressure,WiSpeed2M,WiDirect2M,WiSpeed10M,WiDirect10M,WSfSoil,Region,Farming,Rearing,Fishery
11,AnGiang,2022,October,12,4.36,11.99,0.34,1.69,105.1541,10.5026,26.01,24.48,25.25,25.94,19.17,poor_high,2.88,100.91,2.05,North_East,3.01,North_East,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
12,AnGiang,2022,October,13,4.56,12.67,0.36,1.8,105.1541,10.5026,26.69,24.49,25.58,26.69,19.17,poor_high,6.12,100.76,1.49,West,2.27,West,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
13,AnGiang,2022,October,14,4.21,11.7,0.34,1.68,105.1541,10.5026,26.11,23.98,25.05,26.2,18.62,poor_high,0.18,100.59,2.72,North_West,3.88,North_West,0.94,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
14,AnGiang,2022,October,15,5.11,13.14,0.35,1.8,105.1541,10.5026,25.31,22.94,24.13,25.79,17.52,poor_high,0.89,100.57,2.22,North_West,3.12,North_West,0.93,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
15,AnGiang,2022,October,16,5.8,14.71,0.39,1.99,105.1541,10.5026,25.83,23.02,24.43,26.58,17.58,poor_high,0.0,100.8,1.87,South_West,2.66,South_West,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
16,AnGiang,2022,October,17,5.48,13.99,0.4,2.02,105.1541,10.5026,26.98,24.2,25.59,27.48,18.86,poor_high,0.08,100.8,1.45,South,2.12,South,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
17,AnGiang,2022,October,18,5.11,13.12,0.38,1.91,105.1541,10.5026,25.55,23.69,24.62,25.63,18.25,poor_high,0.54,100.81,1.97,South,2.88,South,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
18,AnGiang,2022,October,19,4.38,11.63,0.34,1.71,105.1541,10.5026,26.51,23.86,25.19,26.69,18.49,poor_high,3.17,100.77,1.12,North_West,1.62,North_West,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
19,AnGiang,2022,October,20,3.47,9.99,0.29,1.45,105.1541,10.5026,25.77,24.65,25.21,25.8,19.35,poor_high,8.78,100.84,1.69,West,2.48,West,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
20,AnGiang,2022,October,21,4.96,13.01,0.37,1.85,105.1541,10.5026,27.0,25.28,26.14,27.08,20.08,poor_high,6.54,100.97,2.16,South_East,3.12,South_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
21,AnGiang,2022,October,22,4.59,11.98,0.34,1.7,105.1541,10.5026,27.51,24.82,26.16,27.62,19.53,poor_high,1.83,101.04,1.02,South_East,1.54,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
22,AnGiang,2022,October,23,4.72,12.62,0.35,1.8,105.1541,10.5026,27.85,24.65,26.25,27.75,19.35,poor_high,1.92,100.99,0.57,East,0.82,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
23,AnGiang,2022,October,24,5.04,13.19,0.36,1.86,105.1541,10.5026,27.39,24.97,26.18,27.37,19.71,poor_high,25.25,100.85,0.92,South,1.34,South,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
24,AnGiang,2022,October,25,4.67,12.2,0.34,1.74,105.1541,10.5026,27.16,24.79,25.98,27.25,19.53,poor_high,15.95,100.85,2.02,South,2.85,South,0.95,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
25,AnGiang,2022,October,26,4.29,11.55,0.33,1.67,105.1541,10.5026,27.11,24.85,25.98,27.25,19.59,poor_high,10.16,100.82,1.55,North_East,2.3,North_East,0.94,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
26,AnGiang,2022,October,27,2.55,7.55,0.22,1.09,105.1541,10.5026,26.47,24.7,25.58,26.53,19.41,poor_high,8.29,100.79,1.18,East,1.72,East,0.94,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
27,AnGiang,2022,October,28,4.51,12.23,0.34,1.73,105.1541,10.5026,27.02,24.65,25.83,27.12,19.35,poor_high,1.75,100.69,1.08,East,1.58,East,0.93,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
28,AnGiang,2022,October,29,4.88,12.69,0.35,1.78,105.1541,10.5026,26.54,24.05,25.3,26.69,18.68,poor_high,0.01,100.65,2.6,North_East,3.76,North_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
29,AnGiang,2022,October,30,4.94,13.08,0.36,1.84,105.1541,10.5026,26.58,24.03,25.3,26.54,18.68,poor_high,0.1,100.66,2.64,South_East,3.87,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
30,AnGiang,2022,October,31,5.66,13.81,0.38,1.95,105.1541,10.5026,26.55,23.78,25.16,26.71,18.37,poor_high,0.0,100.73,2.57,South_East,3.76,East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
31,AnGiang,2022,November,1,4.96,12.14,0.34,1.72,105.1541,10.5026,25.89,22.87,24.38,26.12,17.33,poor_high,0.0,100.84,2.52,North,3.7,North,0.89,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
32,AnGiang,2022,November,2,5.2,12.14,0.34,1.71,105.1541,10.5026,26.03,22.44,24.24,26.55,16.91,poor_high,0.45,100.84,1.42,East,2.09,East,0.88,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
33,AnGiang,2022,November,3,3.94,10.18,0.28,1.45,105.1541,10.5026,26.29,24.76,25.52,26.41,19.47,poor_high,8.2,100.87,1.94,South_East,2.79,South_East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
34,AnGiang,2022,November,4,3.0,8.62,0.25,1.25,105.1541,10.5026,26.11,24.38,25.25,26.23,18.98,poor_high,3.69,101.05,1.32,South,1.95,South,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
35,AnGiang,2022,November,5,4.83,12.55,0.34,1.77,105.1541,10.5026,25.9,24.35,25.12,25.94,18.92,poor_high,15.71,101.18,2.51,East,3.62,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
36,AnGiang,2022,November,6,4.64,11.98,0.34,1.71,105.1541,10.5026,26.44,23.55,24.99,26.65,18.07,poor_high,4.57,101.11,1.66,North_East,2.5,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
37,AnGiang,2022,November,7,4.85,12.35,0.34,1.73,105.1541,10.5026,26.87,23.59,25.23,26.88,18.13,poor_high,6.73,101.02,1.27,North_East,1.94,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
38,AnGiang,2022,November,8,4.93,12.48,0.34,1.77,105.1541,10.5026,26.81,23.97,25.39,26.76,18.55,poor_high,0.24,100.96,1.66,North_East,2.52,North_East,0.89,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
39,AnGiang,2022,November,9,5.14,13.08,0.36,1.85,105.1541,10.5026,25.99,24.25,25.12,25.94,18.86,poor_high,6.47,100.99,1.69,North_East,2.5,North_East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
40,AnGiang,2022,November,10,4.84,12.83,0.36,1.86,105.1541,10.5026,26.95,24.44,25.69,26.91,19.1,poor_high,7.66,100.92,1.73,South_East,2.62,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
41,AnGiang,2022,November,11,4.45,11.7,0.33,1.67,105.1541,10.5026,26.92,24.75,25.83,26.81,19.47,poor_high,12.3,100.88,1.69,South_East,2.55,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
42,AnGiang,2022,November,12,3.33,9.34,0.27,1.37,105.1541,10.5026,27.21,24.52,25.87,27.55,19.23,poor_high,4.67,100.8,0.89,North_East,1.38,North_East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
43,AnGiang,2022,November,13,4.57,12.24,0.34,1.75,105.1541,10.5026,26.43,24.91,25.67,26.49,19.65,poor_high,6.14,100.81,2.01,East,2.95,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
44,AnGiang,2022,November,14,4.63,12.36,0.34,1.77,105.1541,10.5026,26.68,24.89,25.78,26.61,19.65,poor_high,7.53,100.84,2.3,East,3.4,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
45,AnGiang,2022,November,15,4.52,12.06,0.35,1.81,105.1541,10.5026,26.61,24.62,25.62,26.8,19.35,poor_high,9.25,100.84,1.65,East,2.48,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
46,AnGiang,2022,November,16,4.89,12.77,0.37,1.91,105.1541,10.5026,26.74,24.81,25.77,26.66,19.53,poor_high,3.5,100.76,1.59,South_East,2.34,South_East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
47,AnGiang,2022,November,17,4.65,12.46,0.37,1.93,105.1541,10.5026,26.39,24.68,25.54,26.37,19.41,poor_high,6.79,100.74,1.66,South_East,2.48,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
48,AnGiang,2022,November,18,4.19,11.16,0.33,1.72,105.1541,10.5026,26.87,24.9,25.89,26.94,19.65,poor_high,13.92,100.76,1.0,South_East,1.51,South_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
49,AnGiang,2022,November,19,2.93,8.59,0.27,1.37,105.1541,10.5026,26.25,24.4,25.33,26.15,19.1,poor_high,11.38,100.68,1.94,South_East,2.89,South_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
50,AnGiang,2022,November,20,1.92,6.07,0.2,1.0,105.1541,10.5026,25.26,23.7,24.48,25.3,18.31,poor_high,5.88,100.52,3.2,East,4.59,East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
51,AnGiang,2022,November,21,3.3,9.53,0.29,1.54,105.1541,10.5026,25.45,24.0,24.73,25.56,18.74,poor_high,12.31,100.46,2.21,South_West,3.24,South_West,0.93,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
52,AnGiang,2022,November,22,2.24,6.88,0.22,1.16,105.1541,10.5026,26.3,24.27,25.28,26.2,18.98,poor_high,6.58,100.52,0.91,West,1.38,West,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
53,AnGiang,2022,November,23,2.75,7.73,0.23,1.2,105.1541,10.5026,26.33,25.06,25.69,26.31,19.9,poor_high,4.82,100.62,1.98,South,2.86,South,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
54,AnGiang,2022,November,24,3.82,10.62,0.31,1.64,105.1541,10.5026,26.15,24.81,25.48,26.13,19.53,poor_high,7.09,100.83,2.66,South_East,3.9,South_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
55,AnGiang,2022,November,25,4.52,11.78,0.33,1.74,105.1541,10.5026,26.38,24.56,25.48,26.55,19.23,poor_high,11.15,100.95,1.9,South_East,2.8,South_East,0.93,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
56,AnGiang,2022,November,26,4.13,10.99,0.32,1.67,105.1541,10.5026,26.33,24.52,25.43,26.48,19.23,poor_high,1.17,100.88,1.27,South_East,1.93,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
57,AnGiang,2022,November,27,4.89,12.6,0.35,1.85,105.1541,10.5026,26.81,24.28,25.55,27.09,18.92,poor_high,6.6,100.79,1.05,South_East,1.71,South_East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
58,AnGiang,2022,November,28,4.87,12.73,0.36,1.87,105.1541,10.5026,26.55,24.48,25.51,26.73,19.17,poor_high,3.43,100.84,1.39,South_East,2.11,South_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
59,AnGiang,2022,November,29,4.7,12.34,0.35,1.84,105.1541,10.5026,26.73,24.73,25.73,26.87,19.41,poor_high,6.51,100.87,1.41,East,2.15,East,0.92,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
60,AnGiang,2022,November,30,4.67,12.07,0.34,1.76,105.1541,10.5026,27.05,24.64,25.85,26.94,19.35,poor_high,1.75,100.85,1.16,East,1.77,East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
61,AnGiang,2022,December,1,4.77,12.53,0.35,1.85,105.1541,10.5026,26.66,24.51,25.58,26.48,19.23,poor_high,3.38,100.79,1.46,North_East,2.26,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
62,AnGiang,2022,December,2,5.01,12.87,0.36,1.89,105.1541,10.5026,26.44,24.34,25.39,26.41,19.04,poor_high,2.31,100.72,2.34,North_East,3.46,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
63,AnGiang,2022,December,3,3.14,9.03,0.27,1.43,105.1541,10.5026,25.12,23.5,24.31,25.22,18.07,poor_high,10.71,100.81,2.73,North_East,3.93,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
64,AnGiang,2022,December,4,4.7,12.16,0.35,1.88,105.1541,10.5026,25.64,23.69,24.66,25.7,18.25,poor_high,0.77,100.84,2.83,North_East,4.14,North_East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
65,AnGiang,2022,December,5,4.8,12.34,0.35,1.87,105.1541,10.5026,26.35,24.19,25.27,26.37,18.8,poor_high,1.35,100.88,1.94,East,2.93,East,0.9,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
66,AnGiang,2022,December,6,5.06,12.7,0.36,1.9,105.1541,10.5026,26.6,24.08,25.33,26.71,18.68,poor_high,1.55,100.79,1.81,North_East,2.74,North_East,0.89,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
67,AnGiang,2022,December,7,4.48,11.66,0.34,1.84,105.1541,10.5026,25.75,24.16,24.96,25.78,18.8,poor_high,1.87,100.8,2.3,North_East,3.37,North_East,0.89,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
68,AnGiang,2022,December,8,5.1,13.07,0.38,2.03,105.1541,10.5026,26.1,24.07,25.08,26.01,18.68,poor_high,1.91,100.8,2.09,East,3.08,East,0.88,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
69,AnGiang,2022,December,9,4.51,11.75,0.35,1.91,105.1541,10.5026,26.5,24.36,25.43,26.58,19.04,poor_high,10.81,100.74,1.74,North_East,2.66,North_East,0.91,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
70,AnGiang,2022,December,10,5.44,13.62,0.41,2.21,105.1541,10.5026,25.8,23.37,24.58,26.02,17.94,poor_high,1.21,100.8,2.09,North_East,3.05,North_East,0.88,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
71,AnGiang,2022,December,11,5.19,12.96,0.38,2.02,105.1541,10.5026,26.33,23.9,25.12,26.76,18.49,poor_high,0.91,100.89,1.22,East,1.83,East,0.88,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
72,AnGiang,2022,December,12,4.69,11.59,0.32,1.71,105.1541,10.5026,25.4,23.15,24.28,25.63,17.64,poor_high,1.01,100.96,1.8,East,2.67,East,0.87,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
73,AnGiang,2022,December,13,5.69,13.59,0.38,1.99,105.1541,10.5026,23.5,20.51,22.01,23.68,15.01,poor_high,0.02,101.03,2.7,North_East,4.05,North_East,0.86,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
74,AnGiang,2022,December,14,5.46,12.82,0.35,1.82,105.1541,10.5026,23.53,20.62,22.08,23.88,15.14,poor_high,0.0,101.05,2.52,North_East,3.7,North_East,0.85,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
75,AnGiang,2022,December,15,5.73,13.84,0.38,2.0,105.1541,10.5026,23.83,20.82,22.33,24.13,15.32,poor_high,0.0,100.9,2.96,North_East,4.34,North_East,0.84,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
76,AnGiang,2022,December,16,5.28,13.09,0.38,2.02,105.1541,10.5026,24.68,22.12,23.4,24.78,16.66,poor_high,0.01,100.79,2.39,North_East,3.59,North_East,0.84,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
77,AnGiang,2022,December,17,4.19,11.29,0.35,1.96,105.1541,10.5026,25.73,23.8,24.76,25.66,18.37,poor_high,0.96,100.82,2.88,North_East,4.25,North_East,0.84,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
78,AnGiang,2022,December,18,5.14,12.58,0.38,2.07,105.1541,10.5026,22.9,19.58,21.24,23.03,14.16,poor_high,0.07,100.97,5.82,North_East,8.38,North_East,0.82,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
79,AnGiang,2022,December,19,5.48,13.28,0.4,2.16,105.1541,10.5026,22.51,19.44,20.98,22.99,14.1,poor_high,0.0,100.94,3.76,North_East,5.4,North,0.81,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
80,AnGiang,2022,December,20,5.74,14.07,0.41,2.18,105.1541,10.5026,23.91,20.99,22.45,24.31,15.5,poor_high,0.0,100.8,2.66,North_East,3.9,North_East,0.8,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
81,AnGiang,2022,December,21,5.19,12.56,0.37,2.02,105.1541,10.5026,25.23,22.15,23.69,25.16,16.66,poor_high,0.33,100.77,2.93,North_East,4.31,North_East,0.79,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
82,AnGiang,2022,December,22,4.8,11.91,0.34,1.84,105.1541,10.5026,24.72,21.83,23.27,24.63,16.3,poor_high,1.16,100.79,2.27,North_East,3.45,North_East,0.79,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
83,AnGiang,2022,December,23,5.59,13.21,0.38,2.03,105.1541,10.5026,23.92,20.38,22.15,24.08,14.89,poor_high,0.0,100.96,2.59,North_East,3.88,North_East,0.77,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
84,AnGiang,2022,December,24,4.7,11.27,0.34,1.85,105.1541,10.5026,22.49,18.51,20.5,22.68,13.24,poor_high,0.0,101.12,2.77,North_East,4.14,North_East,0.76,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
85,AnGiang,2022,December,25,5.13,11.83,0.34,1.84,105.1541,10.5026,22.43,18.24,20.33,22.67,13.0,poor_high,0.0,101.25,2.46,North_East,3.73,North_East,0.75,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
86,AnGiang,2022,December,26,4.97,11.59,0.34,1.81,105.1541,10.5026,22.78,17.92,20.35,22.91,12.7,poor_high,0.0,101.34,2.65,North_East,4.01,North_East,0.73,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
87,AnGiang,2022,December,27,4.83,11.12,0.33,1.8,105.1541,10.5026,22.55,18.76,20.65,22.62,13.37,poor_high,0.0,101.35,1.47,North_East,2.25,North_East,0.73,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
88,AnGiang,2022,December,28,5.42,12.28,0.35,1.88,105.1541,10.5026,23.44,18.85,21.15,23.26,13.49,poor_high,0.01,101.32,1.61,North_East,2.48,North_East,0.73,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
89,AnGiang,2022,December,29,5.21,12.52,0.37,2.0,105.1541,10.5026,24.19,19.8,21.99,24.19,14.28,poor_high,0.0,101.31,2.02,North_East,3.21,North_East,0.71,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
90,AnGiang,2022,December,30,4.71,11.69,0.35,1.92,105.1541,10.5026,24.52,20.72,22.62,24.72,15.14,poor_high,0.03,101.36,2.75,North_East,4.09,North_East,0.7,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
91,AnGiang,2022,December,31,4.71,11.54,0.34,1.9,105.1541,10.5026,22.96,19.05,21.01,22.99,13.67,poor_high,0.0,101.33,3.41,North_East,5.01,North_East,0.7,Dong_bang_song_Cuu_Long,"['lua', 'ngo']",?,['ca']
92,VungTau,2022,October,1,5.27,14.5,0.43,2.17,107.2593,10.5822,27.51,24.81,26.15,27.93,19.59,poor_high,7.5,100.47,3.02,South_West,3.61,South_West,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
93,VungTau,2022,October,2,4.31,12.05,0.36,1.83,107.2593,10.5822,27.32,24.55,25.94,28.03,19.35,poor_high,3.54,100.39,2.79,South,3.32,South,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
94,VungTau,2022,October,3,5.64,15.23,0.44,2.23,107.2593,10.5822,27.53,24.82,26.18,27.76,19.65,poor_high,5.1,100.37,4.44,East,5.34,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
95,VungTau,2022,October,4,3.22,9.73,0.3,1.51,107.2593,10.5822,27.41,24.14,25.77,27.55,18.8,poor_high,7.4,100.55,5.25,East,6.29,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
96,VungTau,2022,October,5,5.37,14.51,0.41,2.12,107.2593,10.5822,27.43,24.6,26.01,27.66,19.35,poor_high,8.71,100.57,5.94,East,7.12,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
97,VungTau,2022,October,6,2.83,8.51,0.24,1.22,107.2593,10.5822,26.72,24.24,25.48,27.26,18.92,poor_high,7.38,100.63,3.0,East,3.56,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
98,VungTau,2022,October,7,5.64,14.97,0.42,2.15,107.2593,10.5822,27.51,23.73,25.62,28.0,18.37,poor_high,3.54,100.56,3.55,North_East,4.24,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
99,VungTau,2022,October,8,1.38,4.61,0.14,0.7,107.2593,10.5822,27.32,24.65,25.98,27.65,19.41,poor_high,6.76,100.56,4.23,North_East,5.06,North_East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
100,VungTau,2022,October,9,5.03,13.86,0.4,2.04,107.2593,10.5822,26.99,24.06,25.52,27.62,18.68,poor_high,3.76,100.68,3.38,East,4.01,East,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
101,VungTau,2022,October,10,3.95,11.37,0.34,1.73,107.2593,10.5822,26.76,23.22,24.99,27.15,17.76,poor_high,17.13,100.72,3.27,East,3.91,East,0.97,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
102,VungTau,2022,October,11,3.9,11.31,0.33,1.66,107.2593,10.5822,27.34,23.33,25.33,27.94,17.88,poor_high,3.44,100.65,1.73,South,2.03,South,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
103,VungTau,2022,October,12,4.83,13.23,0.37,1.85,107.2593,10.5822,27.69,23.98,25.83,28.08,18.68,poor_high,23.03,100.5,1.65,South,1.94,South,0.97,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
104,VungTau,2022,October,13,5.37,14.45,0.4,2.02,107.2593,10.5822,27.64,24.08,25.86,28.38,18.8,poor_high,1.53,100.34,3.73,North_West,4.41,North_West,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
105,VungTau,2022,October,14,4.41,12.32,0.35,1.77,107.2593,10.5822,26.8,24.19,25.49,27.57,18.92,poor_high,2.81,100.16,5.08,North_West,5.98,North_West,0.95,Dong_Nam_Bo,"['mia', 'ngo', 'san']",['heo'],['tom']
